id,codigo_ibge,nome,uf
1,1200013,Acrelândia,AC
2,1200054,Assis Brasil,AC
3,1200104,Brasiléia,AC
4,1200138,Bujari,AC
5,1200179,Capixaba,AC
6,1200203,Cruzeiro do Sul,AC
7,1200252,Epitaciolândia,AC
8,1200302,Feijó,AC
9,1200328,Jordão,AC
11,1200344,Manoel Urbano,AC
12,1200351,Marechal Thaumaturgo,AC
10,1200336,Mâncio Lima,AC
13,1200385,Plácido de Castro,AC
14,1200807,Porto Acre,AC
15,1200393,Porto Walter,AC
16,1200401,Rio Branco,AC
19,1200500,Sena Madureira,AC
20,1200450,Senador Guiomard,AC
21,1200609,Tarauacá,AC
22,1200708,Xapuri,AC
26,2700201,Anadia,AL
30,2700300,Arapiraca,AL
31,2700409,Atalaia,AL
36,2700508,Barra de Santo Antônio,AL
37,2700607,Barra de São Miguel,AL
40,2700706,Batalha,AL
43,2700904,Belo Monte,AL
42,2700805,Belém,AL
126,2705903,Olho d'Água Grande,AL
131,2706000,Olivença,AL
132,2706109,Ouro Branco,AL
135,2706307,Palmeira dos Índios,AL
137,2706422,Pariconha,AL
138,2706448,Paripueira,AL
139,2706505,Passo de Camaragibe,AL
142,2706604,Paulo Jacinto,AL
143,2706703,Penedo,AL
779,2918803,Laje,BA
144,2706802,Piaçabuçu,AL
145,2706901,Pilar,AL
146,2707008,Pindoba,AL
147,2707107,Piranhas,AL
151,2707305,Porto Calvo,AL
152,2707404,Porto de Pedras,AL
153,2707503,Porto Real do Colégio,AL
150,2707206,Poço das Trincheiras,AL
136,2706406,Pão de Açúcar,AL
155,2707602,Quebrangulo,AL
158,2707701,Rio Largo,AL
163,2708006,Santana do Ipanema,AL
164,2708105,Santana do Mundaú,AL
175,2708907,Satuba,AL
176,2708956,Senador Rui Palmeira,AL
167,2708303,São José da Laje,AL
168,2708402,São José da Tapera,AL
169,2708501,São Luís do Quitunde,AL
170,2708600,São Miguel dos Campos,AL
172,2708808,São Sebastião,AL
181,2709004,Tanque d'Arca,AL
182,2709103,Taquarana,AL
184,2709152,Teotônio Vilela,AL
185,2709202,Traipu,AL
186,2709301,União dos Palmares,AL
188,2709400,Viçosa,AL
23,2700102,Água Branca,AL
191,1300029,Alvarães,AM
193,1300060,Amaturá,AM
194,1300086,Anamã,AM
196,1300144,Apuí,AM
200,1300300,Autazes,AM
204,1300409,Barcelos,AM
205,1300508,Barreirinha,AM
206,1300607,Benjamin Constant,AM
207,1300631,Beruri,AM
208,1300680,Boa Vista do Ramos,AM
209,1300706,Boca do Acre,AM
211,1300839,Caapiranga,AM
214,1300904,Canutama,AM
216,1301100,Careiro,AM
217,1301159,Careiro da Várzea,AM
219,1301209,Coari,AM
220,1301308,Codajás,AM
222,1301407,Eirunepé,AM
227,1301654,Guajará,AM
228,1301704,Humaitá,AM
231,1301803,Ipixuna,AM
232,1301852,Iranduba,AM
233,1301902,Itacoatiara,AM
234,1301951,Itamarati,AM
235,1302009,Itapiranga,AM
236,1302108,Japurá,AM
237,1302207,Juruá,AM
239,1302405,Lábrea,AM
241,1302504,Manacapuru,AM
243,1302603,Manaus,AM
244,1302702,Manicoré,AM
247,1302900,Maués,AM
251,1303007,Nhamundá,AM
252,1303106,Nova Olinda do Norte,AM
254,1303304,Novo Aripuanã,AM
47,2701001,Boca da Mata,AL
256,1303403,Parintins,AM
257,1303502,Pauini,AM
259,1303536,Presidente Figueiredo,AM
261,1303569,Rio Preto da Eva,AM
269,1304005,Silves,AM
267,1303908,São Paulo de Olivença,AM
268,1303957,São Sebastião do Uatumã,AM
270,1304062,Tabatinga,AM
271,1304104,Tapauá,AM
272,1304203,Tefé,AM
274,1304260,Uarini,AM
275,1304302,Urucará,AM
276,1304401,Urucurituba,AM
280,1600105,Amapá,AP
287,1600204,Calçoene,AP
296,1600238,Ferreira Gomes,AP
303,1600253,Itaubal,AP
304,1600279,Laranjal do Jari,AP
307,1600303,Macapá,AP
308,1600402,Mazagão,AP
310,1600501,Oiapoque,AP
312,1600535,Porto Grande,AP
316,1600600,Santana,AP
10147,1600055,Serra do Navio,AP
322,1600709,Tartarugalzinho,AP
324,1600808,Vitória do Jari,AP
279,1600154,Pedra Branca do Amapari,AP
327,2900207,Abaré,BA
326,2900108,Abaíra,BA
331,2900306,Acajutiba,BA
335,2900355,Adustina,BA
341,2900603,Aiquara,BA
342,2900702,Alagoinhas,BA
343,2900801,Alcobaça,BA
347,2900900,Almadina,BA
351,2901007,Amargosa,BA
352,2901106,Amélia Rodrigues,BA
353,2901155,América Dourada,BA
355,2901205,Anagé,BA
356,2901304,Andaraí,BA
357,2901353,Andorinha,BA
358,2901403,Angical,BA
360,2901502,Anguera,BA
361,2901601,Antas,BA
362,2901700,Antônio Cardoso,BA
363,2901809,Antônio Gonçalves,BA
364,2901908,Aporá,BA
365,2901957,Apuarema,BA
367,2902005,Aracatu,BA
368,2902104,Araci,BA
369,2902203,Aramari,BA
371,2902252,Arataca,BA
372,2902302,Aratuípe,BA
366,2902054,Araças,BA
379,2902401,Aurelino Leal,BA
380,2902500,Baianópolis,BA
382,2902609,Baixa Grande,BA
391,2902658,Banzaê,BA
394,2902708,Barra,BA
395,2902807,Barra da Estiva,BA
396,2902906,Barra do Choça,BA
398,2903003,Barra do Mendes,BA
400,2903102,Barra do Rocha,BA
50,2701100,Branquinha,AL
51,2701209,Cacimbinhas,AL
53,2701308,Cajueiro,AL
56,2701357,Campestre,AL
57,2701407,Campo Alegre,AL
58,2701506,Campo Grande,AL
61,2701605,Canapi,AL
64,2701704,Capela,AL
65,2701803,Carneiros,AL
67,2701902,Chã Preta,AL
68,2702009,Coité do Nóia,AL
69,2702108,Colônia Leopoldina,AL
405,2903300,Barro Preto,BA
413,2903409,Belmonte,BA
414,2903508,Belo Campo,BA
419,2903607,Biritinga,BA
403,2903201,Barreiras,BA
404,2903235,Barro Alto,BA
407,2903276,Barrocas,BA
421,2903706,Boa Nova,BA
424,2903805,Boa Vista do Tupim,BA
427,2903904,Bom Jesus da Lapa,BA
428,2903953,Bom Jesus da Serra,BA
431,2904001,Boninal,BA
432,2904050,Bonito,BA
433,2904100,Boquira,BA
434,2904209,Botuporã,BA
441,2904407,Brejolândia,BA
440,2904308,Brejões,BA
442,2904506,Brotas de Macaúbas,BA
443,2904605,Brumado,BA
445,2904704,Buerarema,BA
450,2904753,Buritirama,BA
451,2904803,Caatiba,BA
452,2904852,Cabaceiras do Paraguaçu,BA
455,2904902,Cachoeira,BA
457,2905008,Caculé,BA
458,2905107,Caém,BA
459,2905156,Caetanos,BA
461,2905206,Caetité,BA
462,2905305,Cafarnaum,BA
465,2905404,Cairu,BA
470,2905503,Caldeirão Grande,BA
472,2905602,Camacan,BA
474,2905800,Camamu,BA
473,2905701,Camaçari,BA
478,2905909,Campo Alegre de Lourdes,BA
479,2906006,Campo Formoso,BA
484,2906204,Canarana,BA
486,2906303,Canavieiras,BA
488,2906402,Candeal,BA
489,2906501,Candeias,BA
490,2906600,Candiba,BA
493,2906808,Cansanção,BA
495,2906824,Canudos,BA
483,2906105,Canápolis,BA
498,2906857,Capela do Alto Alegre,BA
499,2906873,Capim Grosso,BA
505,2906907,Caravelas,BA
501,2906899,Caraíbas,BA
506,2907004,Cardeal da Silva,BA
507,2907103,Carinhanha,BA
511,2907202,Casa Nova,BA
513,2907301,Castro Alves,BA
516,2907400,Catolândia,BA
519,2907509,Catu,BA
521,2907558,Caturama,BA
523,2907608,Central,BA
525,2907707,Chorrochó,BA
528,2907905,Cipó,BA
529,2908002,Coaraci,BA
530,2908101,Cocos,BA
533,2908200,Conceição da Feira,BA
534,2908309,Conceição do Almeida,BA
535,2908408,Conceição do Coité,BA
536,2908507,Conceição do Jacuípe,BA
537,2908606,Conde,BA
538,2908705,Condeúba,BA
539,2908804,Contendas do Sincorá,BA
543,2908903,Coração de Maria,BA
544,2909000,Cordeiros,BA
545,2909109,Coribe,BA
546,2909208,Coronel João Sá,BA
547,2909307,Correntina,BA
549,2909406,Cotegipe,BA
551,2909505,Cravolândia,BA
